style,feature,duration_seconds,input_tokens,cached_input_tokens,effective_input_tokens,output_tokens,reasoning_output_tokens,command_executions,failed_command_executions,file_changes,agent_messages,event_count,git_insertions,git_deletions,git_churn,git_files_changed,commit_sha
YOLO,01,183,538743,508032,30711,7781,4137,10,2,8,10,49,138,0,138,6,863ca4442ebac136c02c86669f9a927b001aa9f8
YOLO,02,105,321935,306688,15247,4611,1303,13,0,2,11,44,127,17,144,2,e377bc09b39a9249a341249b41f425e5a06ccc10
YOLO,03,116,339056,283264,55792,7937,3536,12,0,3,9,42,294,5,299,2,fec87e9862ef3818c6f3b2a75b66aead6f848675
YOLO,04,92,357902,340992,16910,5632,1757,13,0,2,10,43,195,0,195,2,3271c921cf725dd658602844a6e922119482b263
YOLO,05,112,594418,553856,40562,6369,1751,22,0,4,10,65,142,0,142,2,bd8ef143abf834ccecaeae915cc70f235a54da5a
YOLO,06,111,402531,379904,22627,5275,1403,14,0,3,9,46,193,0,193,2,bc41461ec173b62e5bd916715dcb72e9aa8f7519
YOLO,07,386,1191935,1111424,80511,31647,15245,26,0,3,14,75,826,37,863,2,e6d07ed621e8ae44c6f0d22b052750187d387f5d
YOLO,08,239,1271750,1227520,44230,14940,6082,35,3,4,13,94,229,2,231,2,fa26a735c27aac2c76cdd175ba6b5150de7a8bcd
YOLO,09,449,2500757,2362112,138645,32354,13398,28,1,13,11,96,282,146,428,2,52b1611b31616b64f6beb348721f6310a5a4bdbe
YOLO,10,186,570478,518912,51566,10416,5159,18,0,4,10,57,144,53,197,2,5b54469a3de6813aa604b7a8c4dcdac4150a3a3a
Clean Code,01,294,966979,930688,36291,15458,9410,30,9,5,25,98,168,0,168,7,146a7a4aa7633bb693c1151e7cc01a46e87e359a
Clean Code,02,167,446936,433280,13656,11180,6695,17,3,4,11,56,178,10,188,3,a1339a31a60a008f50aa058ae1dae14b4ad6daa5
Clean Code,03,214,778179,740224,37955,15391,7032,17,1,6,11,60,314,13,327,3,0f8a10854e0e42761445dcd0c491d086c6d93a82
Clean Code,04,144,461328,429824,31504,11035,4784,16,2,5,12,57,330,6,336,3,21c5b2d212e1ad82119fbddaebbe01f9302dc649
Clean Code,05,136,553127,519552,33575,6938,2701,16,2,4,12,55,181,4,185,3,4d909d4ee7b9ecc033d820f6d65647e9d4d25af2
Clean Code,06,211,1106383,1054336,52047,14298,5459,22,1,8,12,75,255,40,295,3,34a50b2660b0265c09548d8eaae78cb79667987d
Clean Code,07,125,639431,593792,45639,7183,2204,21,2,4,12,65,200,3,203,3,76a7542bc8ecd248d27eb8a2d5a15ecbc169cade
Clean Code,08,208,835277,745856,89421,11788,4931,22,3,6,12,71,370,3,373,3,f71a303ea642b528b5cfc7a6a2c7a86fd88ebb05
Clean Code,09,434,2918667,2843776,74891,26049,12428,43,10,14,17,134,500,165,665,5,7ac85b5aedfd138f1eec5f888ffbb0cb1ff76608
Clean Code,10,271,1232232,1187072,45160,21824,11835,29,3,5,14,85,346,209,555,3,4e533f51ff815f4e51724b8bf0a7781e41a10ddd
